    T1      sT      dT1     T2      sT2     dT2     T3      sT3     dT3     T4      sT4     dT4     rate
 33.5172  0.0298  0.2686 34.8261  0.0124  0.0824 18.4315  0.1524  0.6088 26.6594  0.3882  1.7639 0.3999_06_0820403261
 33.5748  0.0180  0.0977 34.8708  0.0034  0.0320 18.6659  0.0618  0.3372 27.9236  0.0623  0.2548 0.3999_06_0823143295
 33.5278  0.0052  0.0458 34.8724  0.0020  0.0290 18.3760  0.0270  0.1373 28.0225  0.0138  0.0824 0.3999_06_0901483327
 33.4362  0.0123  0.0702 34.8591  0.0025  0.0290 18.0703  0.0254  0.1648 27.8194  0.0360  0.1587 0.3999_06_0904223359
 33.4039  0.0130  0.0717 34.8526  0.0022  0.0275 17.9001  0.0680  0.2823 27.6883  0.0112  0.0702 0.3999_06_0906563390
 33.3957  0.0391  0.1877 34.8483  0.0044  0.0397 18.2510  0.2515  1.0895 27.5904  0.0396  0.2121 0.3999_06_0909303423
 34.2089  0.1715  0.7828 34.9104  0.0185  0.1572 22.5632  0.8497  3.5614 28.9640  0.3197  1.4389 0.3999_06_0912043454
 37.0023  0.3734  1.5045 37.0125  0.3887  1.5717 27.4340  0.2085  1.0925 32.9117  0.4502  1.9226 0.3999_06_0914383486
 37.2879  0.2909  1.2329 37.4851  0.2768  1.1688 24.6839  0.5277  2.4033 34.3671  0.1571  0.7111 0.3999_06_0917123520
 34.3278  0.2066  0.9857 35.0939  0.0967  0.5249 19.8462  0.3995  1.7746 31.3962  0.4410  1.8921 0.3999_06_0919463554
 33.5792  0.0415  0.1907 34.9012  0.0089  0.0610 18.0941  0.1439  0.5417 28.7121  0.1726  0.7996 0.3999_06_0922203586
 33.2875  0.0209  0.1083 34.8426  0.0049  0.0381 17.1883  0.0657  0.3830 27.6195  0.0825  0.3784 0.3999_06_1000543618
 33.1166  0.0212  0.0992 34.8139  0.0046  0.0366 16.5650  0.0590  0.3128 27.0544  0.0576  0.2487 0.3999_06_1003283550
 33.0055  0.0111  0.0595 34.7895  0.0030  0.0305 16.2917  0.0604  0.2777 26.7069  0.0288  0.1404 0.3999_06_1006023682
 33.0365  0.0456  0.2304 34.7753  0.0051  0.0427 16.7287  0.3069  1.3153 26.5798  0.0397  0.2243 0.3999_06_1008363713
 34.4736  0.2928  1.3779 35.0310  0.1208  0.6409 23.3994  1.0517  4.5074 28.9165  0.5441  2.3270 0.3999_06_1011103745
 36.7315  0.6128  0.6104 36.6858  0.6117  0.6149 28.2005  0.7504  0.8835 32.2408  0.6564  0.6653 1.7399_06_1013443778
