    T1      sT      dT1     T2      sT2     dT2     T3      sT3     dT3     T4      sT4     dT4     rate
 34.0491  0.0200  0.1144 34.8838  0.0091  0.0641 20.4438  0.0469  0.2304 28.0128  0.3470  1.6281 0.3999_05_2802564794
 34.0528  0.0287  0.1251 34.9167  0.0051  0.0397 19.9324  0.1699  0.5951 29.2755  0.0287  0.1465 0.3999_05_2805304827
 33.7970  0.0436  0.1984 34.8968  0.0032  0.0336 19.5350  0.3220  1.4069 28.5860  0.0452  0.2335 0.3999_05_2809131242
 34.6469  0.1902  0.9018 35.0362  0.0931  0.4913 23.8968  0.7968  2.9770 29.9527  0.3055  1.3992 0.3999_05_2811461730
 36.8362  0.1823  0.7965 36.9488  0.1868  0.8514 25.8430  0.6519  2.4475 33.1195  0.2205  0.9903 0.3999_05_2814231125
 35.5396  0.0813  0.5280 35.7118  0.0858  0.5341 23.8453  0.2361  1.1230 32.5768  0.0918  0.5005 0.3999_05_2816561612
 34.4314  0.0928  0.4639 35.0108  0.0197  0.1633 21.1295  0.2494  1.0361 31.1661  0.2295  0.9933 0.3999_05_2819301645
 33.9848  0.0379  0.1541 34.9575  0.0054  0.0473 19.7806  0.1305  0.5478 29.6352  0.1228  0.5508 0.3999_05_2822041678
 33.7445  0.0374  0.1770 34.9319  0.0045  0.0397 18.7715  0.2080  0.9109 28.7962  0.0854  0.4089 0.3999_05_2900381710
 33.4239  0.0157  0.0961 34.8843  0.0044  0.0351 17.6461  0.0390  0.1953 27.8804  0.0835  0.3677 0.3999_05_2903121742
 33.4187  0.0053  0.0381 34.8734  0.0020  0.0244 17.5925  0.0275  0.1694 27.6012  0.0128  0.0687 0.3999_05_2905461773
 33.4031  0.0220  0.1343 34.8678  0.0028  0.0320 17.7854  0.2118  1.0345 27.5235  0.0173  0.1205 0.3999_05_2908201802
 34.4177  0.1988  0.9674 34.9722  0.0514  0.3250 23.1533  0.7998  3.6819 29.1897  0.4109  1.7715 0.3999_05_2910541835
 37.4277  0.3633  1.5533 37.4534  0.3793  1.6037 27.9473  0.1443  0.8911 33.3295  0.4284  1.8509 0.3999_05_2913281867
 39.1779  0.2847  0.6226 39.2687  0.2832  0.6180 29.3829  0.2404  0.7996 35.4793  0.2807  0.6287 0.7799_05_2916021900
