        filename       filetime  filespan frametime framespan N_frames    dtime
  1 99_05_2421004921   75649.21      0.00  75649.21   9240.33   16500   0.000000
  2 99_05_2423344956   84889.56   9240.35  84889.54   9240.33   16500   0.020937
  3 99_05_2502084988    7729.88   9240.32   7729.87   9240.33   16500   0.009883
  4 99_05_2504425019   16970.19   9240.31  16970.20   9240.33   16500  -0.009219
  5 99_05_2507165051   26210.51   9240.32  26210.53   9240.33   16500  -0.019297
  6 99_05_2509505082   35450.82   9240.31  35450.86   9240.33   16500  -0.039375
  7 99_05_2512245114   44691.14   9240.32  44691.19   9240.33   16500  -0.051406
  8 99_05_2514585146   53931.46   9240.32  53931.52   3850.70    6876  -0.059531
  1 99_05_2421004921   75649.19      0.00  75649.21   9240.33   16500  -0.018501
  2 99_05_2423344956   84889.56   9240.37  84889.52   9240.33   16500   0.036562
  3 99_05_2502084988    7729.88   9240.32   7729.85   9240.33   16500   0.028438
  4 99_05_2504425019   16970.19   9240.31  16970.18   9240.33   16500   0.008359
  5 99_05_2507165051   26210.51   9240.32  26210.51   9240.33   16500  -0.001719
  6 99_05_2509505082   35450.82   9240.31  35450.84   9240.33   16500  -0.019844
  7 99_05_2512245114   44691.14   9240.32  44691.17   9240.33   16500  -0.031875
  8 99_05_2514585146   53931.46   9240.32  53931.50   3850.70    6876  -0.040000
  1 99_05_2421004921   75649.19      0.00  75649.21   9240.33   16500  -0.023323
  2 99_05_2423344956   84889.56   9240.37  84889.52   9240.33   16500   0.044375
  3 99_05_2502084988    7729.88   9240.32   7729.85   9240.33   16500   0.033320
  4 99_05_2504425019   16970.19   9240.31  16970.18   9240.33   16500   0.014219
  5 99_05_2507165051   26210.51   9240.32  26210.51   9240.33   16500   0.004141
  6 99_05_2509505082   35450.82   9240.31  35450.84   9240.33   16500  -0.015938
  7 99_05_2512245114   44691.14   9240.32  44691.17   9240.33   16500  -0.027969
  8 99_05_2514585146   53931.46   9240.32  53931.50   3850.70    6876  -0.036094
  1 99_05_2421004921   75649.19      0.00  75649.21   9240.33   16500  -0.024232
  2 99_05_2423344956   84889.56   9240.37  84889.52   9240.33   16500   0.044375
  3 99_05_2502084988    7729.88   9240.32   7729.85   9240.33   16500   0.034297
  4 99_05_2504425019   16970.19   9240.31  16970.18   9240.33   16500   0.014219
  5 99_05_2507165051   26210.51   9240.32  26210.51   9240.33   16500   0.004141
  6 99_05_2509505082   35450.82   9240.31  35450.84   9240.33   16500  -0.015938
  7 99_05_2512245114   44691.14   9240.32  44691.16   9240.33   16500  -0.024063
  8 99_05_2514585146   53931.46   9240.32  53931.50   3850.70    6876  -0.036094
  1 99_05_2421004921   75649.19      0.00  75649.21   9240.33   16500  -0.024644
  2 99_05_2423344956   84889.56   9240.37  84889.52   9240.33   16500   0.044375
  3 99_05_2502084988    7729.88   9240.32   7729.85   9240.33   16500   0.034785
  4 99_05_2504425019   16970.19   9240.31  16970.18   9240.33   16500   0.014219
  5 99_05_2507165051   26210.51   9240.32  26210.51   9240.33   16500   0.004141
  6 99_05_2509505082   35450.82   9240.31  35450.84   9240.33   16500  -0.015938
  7 99_05_2512245114   44691.14   9240.32  44691.16   9240.33   16500  -0.024063
  8 99_05_2514585146   53931.46   9240.32  53931.50   3850.70    6876  -0.036094
  1 99_05_2421004921   75649.18      0.00  75649.21   9240.33   16500  -0.025046
  2 99_05_2423344956   84889.56   9240.38  84889.52   9240.33   16500   0.044375
  3 99_05_2502084988    7729.88   9240.32   7729.84   9240.33   16500   0.035273
  4 99_05_2504425019   16970.19   9240.31  16970.18   9240.33   16500   0.014219
  5 99_05_2507165051   26210.51   9240.32  26210.51   9240.33   16500   0.004141
  6 99_05_2509505082   35450.82   9240.31  35450.84   9240.33   16500  -0.015938
  7 99_05_2512245114   44691.14   9240.32  44691.16   9240.33   16500  -0.024063
  8 99_05_2514585146   53931.46   9240.32  53931.50   3850.70    6876  -0.036094
  1 99_05_2421004921   75649.18      0.00  75649.21   9240.33   16500  -0.025437
  2 99_05_2423344956   84889.56   9240.38  84889.52   9240.33   16500   0.044375
  3 99_05_2502084988    7729.88   9240.32   7729.84   9240.33   16500   0.035273
  4 99_05_2504425019   16970.19   9240.31  16970.17   9240.33   16500   0.016172
  5 99_05_2507165051   26210.51   9240.32  26210.50   9240.33   16500   0.006094
  6 99_05_2509505082   35450.82   9240.31  35450.84   9240.33   16500  -0.015938
  7 99_05_2512245114   44691.14   9240.32  44691.16   9240.33   16500  -0.024063
  8 99_05_2514585146   53931.46   9240.32  53931.50   3850.70    6876  -0.036094
  1 99_05_2421004921   75649.18      0.00  75649.21   9240.33   16500  -0.025390
  2 99_05_2423344956   84889.56   9240.38  84889.52   9240.33   16500   0.044375
  3 99_05_2502084988    7729.88   9240.32   7729.84   9240.33   16500   0.035273
  4 99_05_2504425019   16970.19   9240.31  16970.17   9240.33   16500   0.016172
  5 99_05_2507165051   26210.51   9240.32  26210.50   9240.33   16500   0.006094
  6 99_05_2509505082   35450.82   9240.31  35450.84   9240.33   16500  -0.015938
  7 99_05_2512245114   44691.14   9240.32  44691.16   9240.33   16500  -0.024063
  8 99_05_2514585146   53931.46   9240.32  53931.50   3850.70    6876  -0.036094
