   offset   mdtime  sdtime  iteration
  0.00000  0.07023 0.06101  1
  0.07023  0.04676 0.02088  2
  0.11699  0.03110 0.07454  3
  0.14809  0.02063 0.11048  4
  0.16872  0.01351 0.13452  5
  0.18224  0.00907 0.15007  6
  0.19130  0.00639 0.16021  7
  0.19769  0.00445 0.16741  8
  0.20214  0.00252 0.17296  9
  0.20466  0.00189 0.17567 10
  0.20655  0.00122 0.17789 11
  0.20777  0.00049 0.17959 12
  0.20826  0.00049 0.18001 13
  0.20875  0.00049 0.18042 14
  0.20924  0.00049 0.18084 15
  0.20973 -0.00016 0.18185 16
  0.20956 -0.00005 0.18162 17
  0.20951 -0.00007 0.18159 18
